,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Volume_30,volatility_30,Composite Score,category,overlap,rank_metric,overlap_rounded
10,consistent-growth,GDX,VanEck Gold Miners ETF,0.03997520418035101,Exchange Traded Fund,30.6074161529541,29.739999771118164,0.3849467625777212,0.2,overbought,up,12.516866264742054,8.698827147928267,-3.37882031295265,5.7304692763167395,-2.8340072141379307,0.9591963781326176,31.979999542236328,25.780000686645508,0.6387096476480387,23751356.666666668,-0.04044241437148811,25384470.0,0.10897880106457296,2.9803786228813576,NSPCG,0.0,9.559799838155973,0.0
11,consistent-growth,SCHB,Schwab U.S. Broad Market ETF,0.04079278825928075,Exchange Traded Fund,45.46689987182617,59.869998931884766,0.3461604133888585,0.5,neutral,up,1.222370273467542,4.558156980193353,9.291712789361299,18.60929489090625,31.67820788455286,0.9588803673238561,60.189998626708984,54.61000061035156,0.9426523640535069,879878.3333333334,0.17168958158452277,763103.3333333334,0.18810800269762257,4.654120408673602,NSPCG,1.0,9.007588483707739,1.0
12,consistent-growth,ESGU,iShares ESG Aware MSCI USA ETF,0.03848369618969076,Exchange Traded Fund,85.94514465332031,112.98999786376953,0.21819160559444467,0.5,neutral,up,1.3962999472917685,4.234313905239965,9.433411974595188,18.261273622689057,31.467575416320386,0.9587736587029219,113.56999969482422,102.91000366210938,0.9455908023535188,925830.0,0.17364369886130385,980213.3333333334,0.1741830540956298,4.61861986042969,NSPCG,0.8675141242937853,8.964479641524774,0.86
13,consistent-growth,VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,0.03956984883565918,Exchange Traded Fund,146.8130645751953,179.52000427246094,0.18574863100855055,0.5,neutral,up,0.7100549413659321,3.613072817786574,7.0074703165131975,14.305735620337423,22.277949031241462,0.9703787673569926,180.52999877929688,167.7639923095703,0.9208840674465387,1169330.0,0.16483163968797404,918723.3333333334,0.18488959027006682,3.5973694011370085,NSPCG,0.356029729081755,8.376017957152381,0.35
14,consistent-growth,VV,Vanguard Large Cap Index Fund,0.03827183967222159,Exchange Traded Fund,177.59996032714844,236.1999969482422,0.0,0.5,neutral,up,1.3445107767186573,4.402400642347523,9.88090322431349,18.422318742457364,32.99552348612546,0.9573885238960371,237.3699951171875,214.6199951171875,0.9485715090573489,278273.3333333333,0.18542260644083305,268853.3333333333,0.1841289184870973,4.6688269041837565,NSPCG,0.9381554181231513,8.365265107221532,0.93
15,consistent-growth,VHT,Vanguard Health Care Index Fund ETF Shares,0.04151204467825135,Exchange Traded Fund,231.03990173339844,265.6300048828125,0.14136851562890396,0.3,neutral,down,-1.4858638708944947,2.141816264134887,9.160026662436128,14.435163853894398,14.971484531415822,0.9802394137641096,270.42999267578125,243.33999633789062,0.8228132727262486,205686.66666666666,0.18689318562521903,184276.66666666666,0.12938337065406946,3.352299810581754,NSPCG,0.03912523492226208,7.183307674398536,0.03
16,consistent-growth,QUAL,iShares MSCI USA Quality Factor ETF,0.04175991830423662,Exchange Traded Fund,118.3922348022461,162.38999938964844,0.12623864413389113,0.5,neutral,up,1.4169873630865712,5.304449983559771,11.58959312712211,19.79368822344788,37.16271144040237,0.9487866276165448,163.55999755859375,144.6199951171875,0.9382260814081267,1858151.6666666667,0.20645394689068472,1775996.6666666667,0.20214119005265566,5.043112804442556,QUAL,0.001,9.208307851260612,0.0
17,consistent-growth,SPHQ,Invesco S&P 500 Quality ETF,0.04564756202077192,Exchange Traded Fund,44.97027587890625,59.290000915527344,0.40333926422571836,0.5,neutral,up,1.5720086334930292,4.6786750607967384,10.946860851703997,17.978489037558525,31.842644406230786,0.9532354946176246,59.90999984741211,53.16999816894531,0.9080120508180939,1065700.0,0.202979749951398,992583.3333333334,0.20193572975603838,4.665788890231423,QUAL,0.5362192354686681,8.931925846525107,0.53
18,aggressive-growth,SMH,VanEck Semiconductor ETF,0.05299248566553263,Exchange Traded Fund,125.66255187988281,218.27999877929688,0.0,0.3,neutral,down,3.7957211776646167,11.967172196082995,29.09864940586113,45.53363408172498,73.70329944273645,0.892405782615988,234.1699981689453,164.99000549316406,0.770309322463816,8806943.333333334,0.19850759917514535,9699120.0,0.2041898850520922,11.356190761451105,SECTR,0.001,13.209526883180262,0.0
19,aggressive-growth,SOXX,iShares Semiconductor ETF,0.09329139698456083,Exchange Traded Fund,139.3211212158203,218.58999633789062,0.012456766806816687,0.3,neutral,down,1.995936251398594,8.459860881086453,18.633425103588312,38.17839661901893,56.89652396586449,0.9326123132475386,237.75,179.61666870117188,0.6704127695070589,4169125.0,0.13375395589035524,4724700.0,0.16004786998722792,9.06074142109164,SECTR,0.7630745852855517,11.960656690251893,0.76
20,aggressive-growth,XLK,Technology Select Sector SPDR Fund,0.025583126434062152,Exchange Traded Fund,142.61007690429688,206.3000030517578,0.0,0.3,neutral,down,0.3038364428588354,1.776026718162634,8.767862626328286,18.2945091273931,44.66018638374491,0.9704354371157304,211.02000427246094,184.1199951171875,0.8245353303243087,6877543.333333333,0.10149792119865815,7017413.333333333,0.0589916730921753,4.35192520307217,SECTR,0.27104355600970753,9.681171693226636,0.27
21,aggressive-growth,IGV,iShares Expanded Tech-Software Sector ETF,0.08231334748793658,Exchange Traded Fund,57.23651123046875,84.51000213623047,0.44839822578472444,0.3,neutral,down,-1.2198227713126504,-0.9632946481226569,5.303168004112918,18.677156611083117,47.650512442909346,0.9922304791490155,88.4020004272461,77.31199645996094,0.6490534807294221,2929355.0,0.05185032553861992,3146026.6666666665,-0.026713765264459677,3.98793691021944,SECTR,0.08739808324989273,8.962392695602457,0.08
22,consistent-growth,SPY,SPDR S&P 500 ETF Trust,0.038707099276819784,Exchange Traded Fund,388.11956787109375,512.8599853515625,0.0,0.4,close to overbought,up,1.4702290360378851,4.446955062329217,9.86491803930293,18.220148093538388,32.13968781957905,0.9565713833818614,515.1793212890625,465.8326416015625,0.9529991490372247,76395696.66666667,0.1907476722053415,70419236.66666667,0.19075143093364186,4.628446666485426,STBL,1.0,11.418059452821016,1.0
23,consistent-growth,OEF,iShares S&P 100 ETF,0.03551615125391193,Exchange Traded Fund,177.88125610351562,244.1999969482422,0.0,0.4,close to overbought,up,1.5083242339062153,4.096509126719044,10.778440502490664,18.20893919458865,37.28259081222884,0.9541462031535539,245.10000610351562,219.80999755859375,0.9644124614005258,435905.0,0.19332555699868487,230616.66666666666,0.1666117737533267,4.679951757587945,STBL,0.001,8.239615692010206,0.0
24,,CASH,Unallocated Cash,,,,,,,,,,,,,,,,,,,,,,0.0,CASH,0.0,0.0,
