,,style,symbol,longName,peratio,type,L.Year,Today,risk_score,news_overall,inclination,rsi,market,m.trend,inverse_risk_score,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,overlap,Composite Score,category
SCHX,0,consistent-growth,SCHX,Schwab U.S. Large-Cap ETF,0.04,Exchange Traded Fund,45.55,60.66,3.9,mixed,-1,0.5,Neutral,Upward,0.26,1.01,3.53,7.61,18.46,33.18,0.96,61.33,55.41,0.89,1927270.0,0.19,,3.72,Non S&P consistent-growth
XLK,0,aggressive-growth,XLK,Technology Select Sector SPDR Fund,0.03,Exchange Traded Fund,142.23,205.63,18.38,mixed,-1,0.5,Neutral,Upward,0.05,0.07,1.68,6.78,19.2,44.58,0.97,211.02,184.12,0.8,6834443.33,0.1,,3.69,Non S&P aggressive-growth
OEF,0,consistent-growth,OEF,iShares S&P 100 ETF,0.04,Exchange Traded Fund,176.72,242.18,16.78,mixed,-1,0.5,Neutral,Upward,0.06,0.76,3.1,8.38,17.77,37.04,0.96,245.1,219.81,0.88,436088.33,0.19,,3.66,S&P consistent-growth
SCHB,0,consistent-growth,SCHB,Schwab U.S. Broad Market ETF,0.04,Exchange Traded Fund,45.04,59.55,3.78,mixed,-1,0.5,Neutral,Upward,0.26,1.0,3.51,7.12,18.35,32.21,0.96,60.19,54.61,0.89,878043.33,0.18,,3.65,Non S&P consistent-growth
SPLG,0,consistent-growth,SPLG,SPDR Portfolio S&P 500 ETF,0.04,Exchange Traded Fund,45.32,60.14,3.79,mixed,-1,0.5,Neutral,Upward,0.26,1.01,3.42,7.66,17.91,32.69,0.96,60.79,54.97,0.89,8211785.0,0.19,,3.64,S&P consistent-growth
VV,0,consistent-growth,VV,Vanguard Large Cap Index Fund,0.04,Exchange Traded Fund,176.06,234.75,15.19,mixed,-1,0.5,Neutral,Upward,0.07,0.94,3.37,7.56,18.16,33.33,0.96,237.37,214.62,0.88,279311.67,0.19,,3.64,Non S&P consistent-growth
ITOT,0,consistent-growth,ITOT,iShares Core S&P Total U.S. Stock Market ETF,0.04,Exchange Traded Fund,85.19,112.46,7.12,mixed,-1,0.5,Neutral,Upward,0.14,0.92,3.46,7.02,18.31,32.01,0.96,113.72,103.16,0.88,1359113.33,0.17,,3.62,S&P consistent-growth
VOO,0,consistent-growth,VOO,Vanguard S&P 500 ETF,0.04,Exchange Traded Fund,354.18,470.01,29.6,mixed,-1,0.5,Neutral,Upward,0.03,1.04,3.46,7.7,17.93,32.7,0.96,475.03,429.43,0.89,5169943.33,0.19,,3.62,S&P consistent-growth
SPY,0,consistent-growth,SPY,SPDR S&P 500 ETF Trust,0.04,Exchange Traded Fund,384.42,509.83,31.99,mixed,-1,0.5,Neutral,Upward,0.03,1.05,3.45,7.7,17.86,32.62,0.96,515.18,465.83,0.89,75846778.33,0.19,,3.6,S&P consistent-growth
IWB,0,consistent-growth,IWB,iShares Russell 1000 ETF,0.04,Exchange Traded Fund,212.09,281.08,17.87,mixed,-1,0.5,Neutral,Upward,0.06,0.91,3.39,7.26,18.14,32.53,0.96,284.29,257.46,0.88,785123.33,0.18,,3.6,Non S&P consistent-growth
VTI,0,consistent-growth,VTI,Vanguard Total Stock Market Index Fund ETF Shares,0.04,Exchange Traded Fund,192.14,253.71,16.05,mixed,-1,0.5,Neutral,Upward,0.06,0.97,3.48,7.03,18.24,32.05,0.96,256.53,232.77,0.88,3450746.67,0.17,,3.6,Non S&P consistent-growth
IVV,0,consistent-growth,IVV,iShares Core S&P 500 ETF,0.04,Exchange Traded Fund,386.97,513.23,32.36,mixed,-1,0.5,Neutral,Upward,0.03,0.93,3.33,7.6,17.75,32.63,0.96,519.4,469.56,0.88,5622376.67,0.19,,3.57,S&P consistent-growth
ESGU,0,consistent-growth,ESGU,iShares ESG Aware MSCI USA ETF,0.04,Exchange Traded Fund,85.17,112.25,7.05,mixed,-1,0.5,Neutral,Upward,0.14,0.87,3.21,7.14,17.93,31.8,0.96,113.57,102.91,0.88,918613.33,0.17,,3.57,Non S&P consistent-growth
IWV,0,consistent-growth,IWV,iShares Russell 3000 ETF,0.04,Exchange Traded Fund,221.86,292.34,18.37,mixed,-1,0.5,Neutral,Upward,0.05,0.9,3.45,6.93,18.07,31.77,0.96,295.56,268.36,0.88,298191.67,0.17,,3.56,Non S&P consistent-growth
ONEQ,0,aggressive-growth,ONEQ,Fidelity Nasdaq Composite Index ETF,0.03,Exchange Traded Fund,45.29,62.83,4.89,mixed,-1,0.5,Neutral,Upward,0.2,-0.11,2.19,6.4,18.26,38.72,0.97,64.0,57.1,0.83,265723.33,0.12,,3.54,Non S&P aggressive-growth
QQQ,0,aggressive-growth,QQQ,Invesco QQQ Trust,0.03,Exchange Traded Fund,303.26,433.92,37.19,mixed,-1,0.5,Neutral,Upward,0.03,-0.59,1.14,6.11,17.82,43.08,0.98,445.61,396.28,0.76,44937000.0,0.11,,3.4,Non S&P aggressive-growth
IGV,0,aggressive-growth,IGV,iShares Expanded Tech-Software Sector ETF,0.08,Exchange Traded Fund,57.2,83.56,8.63,mixed,-1,0.5,Neutral,Upward,0.12,-2.27,-2.7,2.63,19.72,46.07,1.0,88.4,77.31,0.56,2918861.67,0.05,,3.31,Non S&P aggressive-growth
ACWI,0,consistent-growth,ACWI,iShares MSCI ACWI ETF,0.05,Exchange Traded Fund,84.89,107.82,5.58,mixed,-1,0.5,Neutral,Upward,0.18,1.23,3.93,6.55,15.95,27.01,0.96,108.94,99.78,0.88,4702996.67,0.17,,3.22,Non S&P consistent-growth
VT,0,consistent-growth,VT,Vanguard Total World Stock Index Fund ETF Shares,0.05,Exchange Traded Fund,85.44,108.14,5.57,mixed,-1,0.5,Neutral,Upward,0.18,1.21,3.91,6.25,15.98,26.57,0.96,109.29,100.29,0.87,2028890.0,0.17,,3.2,Non S&P consistent-growth
DGRW,0,consistent-growth,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,0.04,Exchange Traded Fund,58.92,74.58,4.06,mixed,-1,0.5,Neutral,Upward,0.25,0.87,3.47,6.45,15.63,26.58,0.97,75.33,69.03,0.88,717723.33,0.19,,3.17,Non S&P consistent-growth
VHT,0,consistent-growth,VHT,Vanguard Health Care Index Fund ETF Shares,0.04,Exchange Traded Fund,228.25,265.84,10.85,mixed,-1,0.5,Neutral,Upward,0.09,-1.28,2.45,7.43,14.73,16.47,0.98,270.43,243.34,0.83,211140.0,0.21,,3.11,Non S&P consistent-growth
MOAT,0,consistent-growth,MOAT,VanEck Morningstar Wide Moat ETF,0.04,Exchange Traded Fund,69.45,87.26,4.93,mixed,-1,0.5,Neutral,Upward,0.2,1.29,3.25,3.0,17.33,25.65,0.98,88.5,82.58,0.79,1042130.0,0.08,,3.05,Non S&P consistent-growth
XLV,0,consistent-growth,XLV,Health Care Select Sector SPDR Fund,0.04,Exchange Traded Fund,123.79,145.36,5.92,mixed,-1,0.5,Neutral,Upward,0.17,-1.19,2.37,7.93,13.84,17.42,0.98,147.86,132.73,0.83,8202805.0,0.23,,3.04,Non S&P consistent-growth
VIG,0,consistent-growth,VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,0.04,Exchange Traded Fund,145.28,179.17,8.61,mixed,-1,0.5,Neutral,Upward,0.12,0.52,2.76,5.25,14.1,23.32,0.97,180.53,167.76,0.89,1180368.33,0.17,,2.81,Non S&P consistent-growth
FTCS,0,consistent-growth,FTCS,First Trust Capital Strength ETF,0.05,Exchange Traded Fund,69.37,84.52,3.85,mixed,-1,0.5,Neutral,Upward,0.26,0.84,3.57,6.2,12.78,21.83,0.97,84.96,78.43,0.93,360695.0,0.22,,2.74,Non S&P consistent-growth
XLP,0,consistent-growth,XLP,Consumer Staples Select Sector SPDR Fund,0.04,Exchange Traded Fund,70.25,75.53,2.47,mixed,-1,0.5,Neutral,Upward,0.41,1.39,1.83,5.52,10.52,7.52,0.97,76.15,70.19,0.9,12343175.0,0.14,,2.34,Non S&P consistent-growth
XLY,0,aggressive-growth,XLY,Consumer Discretionary Select Sector SPDR Fund,0.04,Exchange Traded Fund,140.13,178.05,11.93,mixed,-1,0.5,Neutral,Upward,0.08,-2.1,0.41,-1.85,11.19,27.06,1.0,185.02,170.9,0.51,4726501.67,-0.01,,1.56,Non S&P aggressive-growth
GDX,0,consistent-growth,GDX,VanEck Gold Miners ETF,0.04,Exchange Traded Fund,30.09,29.89,2.16,mixed,-1,0.5,Neutral,Upward,0.46,12.29,6.67,-5.26,4.22,-0.65,0.96,31.98,25.78,0.66,23880633.33,-0.01,,0.26,Non S&P consistent-growth
