,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Volume_30,volatility_30,volume_score,Composite Score,category,overlap,rank_metric,overlap_rounded
29,aggressive-growth,SOXX,iShares Semiconductor ETF,0.09250427670397271,Exchange Traded Fund,138.2096405029297,220.4499969482422,0.0025139149857725585,0.3,neutral,down,1.3433737496104283,9.00595015068152,16.04870967257395,39.884513113206985,59.50406653692817,0.9295516857657057,237.75,179.61666870117188,0.7024081939700133,4185800.0,0.14316733983211552,4677580.0,0.1706067196296898,69.74356100278374,13.635152954090437,SECTR,0.791040877628314,8.264675421402936,0.79
30,aggressive-growth,XLK,Technology Select Sector SPDR Fund,0.025169531899059305,Exchange Traded Fund,142.09719848632812,209.69000244140625,0.0,0.5,neutral,up,1.4483354637141868,2.7373615552285377,9.365410949828334,20.319904124022386,47.56800603748818,0.9560784759752482,210.672119140625,183.8164520263672,0.9634298155752259,6891125.0,0.13390600967149238,7083033.333333333,0.11201479570556493,73.76925705572962,10.05336061506695,SECTR,0.22808609958506226,6.340781929206145,0.22
31,aggressive-growth,IGV,iShares Expanded Tech-Software Sector ETF,0.08093428597304418,Exchange Traded Fund,57.10456085205078,85.94999694824219,0.44445135617476234,0.5,neutral,up,-0.11950351339628074,-0.6909455987335705,5.462705575099142,20.913282019919883,50.51336647334621,0.9774446714276931,88.4020004272461,77.31199645996094,0.7788996752176853,3018523.3333333335,0.07410704423407334,3325963.3333333335,0.026605450188604555,70.59018765344486,9.657741473414223,SECTR,0.08839387060158911,6.159287335807898,0.08
32,consistent-growth,SPY,SPDR S&P 500 ETF Trust,0.03814041378077226,Exchange Traded Fund,386.5128479003906,520.47998046875,0.0,0.4,close to overbought,up,2.712400088239148,4.817731172146885,10.22847067462772,20.83116392152384,34.66046039506672,0.945709626359008,520.47998046875,465.8326416015625,1.0,75407556.66666667,0.2448377747813733,70373383.33333333,0.2598181204714168,87.17277951271262,10.405829574280144,STBL,0.001,6.643097744568086,0.0
33,consistent-growth,IVV,iShares Core S&P 500 ETF,0.037992014154608726,Exchange Traded Fund,389.255615234375,524.6699829101562,0.0,0.4,close to overbought,up,2.737768585815261,4.84592319086451,10.26648203816525,20.86439441738828,34.78803191939744,0.9456026638769046,524.6699829101562,469.55999755859375,1.0,5673888.333333333,0.2450513249619723,5596226.666666667,0.25765157657693305,71.79527249095467,9.654076604146892,STBL,0.9965690155713908,5.793818356259579,0.99
34,consistent-growth,VOO,Vanguard S&P 500 ETF,0.03826272826874087,Exchange Traded Fund,356.05255126953125,479.75,0.0,0.4,close to overbought,up,2.6987784681310285,4.8038250972674446,10.21387823802757,20.843354961781305,34.741345986545106,0.9458725063051638,479.75,429.42999267578125,1.0,5173150.0,0.24428764237706932,5068793.333333333,0.25603820245120634,71.46676296897265,9.623491284758384,STBL,0.9799313440718249,5.782122233226301,0.97
35,consistent-growth,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,0.03936871633458039,Exchange Traded Fund,58.99699783325195,75.80999755859375,0.31867936311497236,0.4,close to overbought,up,2.442581034336427,4.462422485554711,8.626395208030722,18.02632682348922,28.498059804435737,0.954679425867496,75.80999755859375,69.48001861572266,1.0,681993.3333333334,0.25586686907341977,692306.6666666666,0.27463928229417817,60.9984711919237,8.25044920616171,YIELD,0.001,5.349869523697026,0.0
36,socially-responsible,VYM,Vanguard High Dividend Yield Index Fund ETF Shares,0.061524010021769035,Exchange Traded Fund,98.22177124023438,118.70999908447266,0.47258828007133785,0.2,overbought,up,3.3487265970343296,5.707526529030552,7.593971938333623,18.680091831716908,20.85915127118552,0.9537937830320833,118.70999908447266,109.36687469482422,1.0,1164266.6666666667,0.24838552859981397,1054456.6666666667,0.3838896460871906,65.25795911303324,8.231973262590259,YIELD,0.4904270986745214,5.143013118084347,0.49
37,consistent-growth,VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,0.0390306564730041,Exchange Traded Fund,145.7743377685547,182.0,0.17605099556402487,0.4,close to overbought,up,2.005204199670465,3.83386653782705,7.361960484309921,16.623364737824193,24.850507150964145,0.9595137390024934,182.0,168.47000122070312,1.0,1137320.0,0.24195459505086123,901933.3333333334,0.282785146846502,64.25424694096449,7.888109718198842,YIELD,0.5322464636777751,4.919967245448195,0.53
38,,CASH,Unallocated Cash,,,,,,,,,,,,,,,,,,,,,,,0.0,CASH,0.0,1.0,
