,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,5_day,10_day,21_day,42_day,63_day,126_day,189_day,251_day,MA_60,Max60,Min60,fluctuation_60,volatility_30,volatility_60,volatility_90,volume_score,Composite Score,category,overlap,rank_metric,overlap_rounded
10,aggressive-growth,IWY,iShares Russell Top 200 Growth ETF,26.46,Exchange Traded Fund,133.64178466796875,196.44000244140625,0.3779289493575208,0.5,neutral,up,2.617149849715708,2.5528579022403535,2.0838798099323994,7.780098958599754,13.431118344698861,27.372921837050733,25.668781402816627,46.98995746686476,0.944011731909304,196.69000244140625,170.3800048828125,0.9904979086583632,0.12148100380749784,0.19804571969898038,0.24722626963466027,58.15429707531791,10.944512045741817,GROW,0.8993482983345401,6.606967908111274,0.89
11,aggressive-growth,IWF,iShares Russell 1000 Growth ETF,26.1,Exchange Traded Fund,234.5636749267578,338.7099914550781,0.38314176245210724,0.5,neutral,up,2.6114075593989825,2.3602289823664835,2.242813542368795,7.862557577610542,13.084269457427558,27.13016947979927,25.13250482514752,44.40001912522894,0.9440711584897977,338.8599853515625,294.42999267578125,0.9966240395856257,0.13448042228065207,0.19787335433511427,0.2601704405635017,64.93295414196736,10.834124492161093,GROW,0.9759216207240119,6.510106047007051,0.97
12,aggressive-growth,MGK,Vanguard Mega Cap Growth Index Fund,29.0,Exchange Traded Fund,196.6111602783203,288.69000244140625,0.3448275862068966,0.5,neutral,up,2.325168342629334,1.9997893108578122,1.5941718471693969,7.303744154172295,12.448431286449955,26.924635648928742,24.60008232214301,46.83296819607812,0.9485711307948849,289.44000244140625,251.47999572753906,0.9802423638738184,0.1062907492650201,0.18075237470362845,0.2345383882144471,57.274436867945624,10.626578685324409,GROW,0.8200510493477028,6.447926791455564,0.82
13,aggressive-growth,VUG,Vanguard Growth Index Fund ETF Shares,28.8,Exchange Traded Fund,239.26611328125,345.9599914550781,0.3472222222222222,0.5,neutral,up,2.330810812762537,1.92381313384237,1.9208074966937192,7.611434870138203,12.578697171961508,26.971161492505885,24.489470286919225,44.59213915027438,0.9465458677699193,346.6099853515625,301.04998779296875,0.9857332324118667,0.12272356096464283,0.18337577362532423,0.24907101660396733,62.90921659843577,10.630216295101315,GROW,0.9244472721488788,6.408350868201237,0.92
14,aggressive-growth,IUSG,iShares Core S&P U.S. Growth ETF,20.25,Exchange Traded Fund,84.98078155517578,117.75,0.49382716049382713,0.5,neutral,up,2.641212296945183,2.5071795808794506,2.8384279475982535,9.179417400042373,14.576241944388787,24.06031138288288,22.941030041585133,38.56074025813475,0.9364713394802172,117.75,100.94999694824219,1.0,0.15752714075240645,0.21244021168224353,0.2607996009279506,59.284083057023786,10.05336090097855,GROW,0.9636123056566325,6.046571618324477,0.96
15,aggressive-growth,VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,20.8,Exchange Traded Fund,220.67593383789062,306.70001220703125,0.4807692307692307,0.5,neutral,up,2.853888358412419,2.6645317777547137,2.857341116281412,9.07604388505559,14.594229345675977,24.158908443370013,22.997415388185296,38.982084214191765,0.9364677382346134,306.70001220703125,262.9200134277344,1.0,0.14990002444476555,0.21037719884624168,0.25609190591709574,51.60320020700371,9.914253637556747,GROW,0.918504614422024,5.981150336765239,0.91
16,consistent-growth,VT,Vanguard Total World Stock Index Fund ETF Shares,15.4,Exchange Traded Fund,86.69544982910156,110.33000183105469,0.6493506493506493,0.4,close to overbought,up,2.0251548490538323,1.696470244558749,3.087887408081192,7.678042283208682,9.911318799108832,18.723742919434336,16.983567165524132,27.26158298796851,0.9501024743910833,110.33000183105469,100.2912826538086,1.0,0.2643225203807655,0.21042982149996528,0.2979190810509808,66.28972402062969,8.103582862803576,INTL,0.001,5.261749717682146,0.0
17,socially-responsible,VXUS,Vanguard Total International Stock Index Fund ETF Shares,13.18,Exchange Traded Fund,51.72043991088867,60.27000045776367,0.7587253414264037,0.4,close to overbought,up,1.141131571462582,0.7264428685064199,2.6753300970785454,7.167940304990824,7.548984237367976,13.58782495041134,10.394684593932107,16.530332227655833,0.959417826271544,60.27000045776367,55.531490325927734,1.0,0.2554732031391623,0.138028061811264,0.22059243260034836,68.72290690306987,6.147719415224043,INTL,0.04573804573804575,4.070336430839207,0.04
18,aggressive-growth,MTUM,iShares MSCI USA Momentum Factor ETF,14.07,Exchange Traded Fund,132.11947631835938,188.60000610351562,0.710732054015636,0.5,neutral,up,3.3198274571445268,1.5835410876953806,4.551253806555705,14.19229954085052,22.324565483742628,35.30960549983563,33.55568680511839,42.749586479633734,0.9134481868659533,189.1999969482422,152.32000732421875,0.9837312631906021,0.18473807676081141,0.2632712382264366,0.2785908173188389,59.46370306180882,12.790750858875644,MTM,0.001,8.074050515325386,0.0
19,consistent-growth,SCHX,Schwab U.S. Large-Cap ETF,18.9,Exchange Traded Fund,45.733646392822266,61.97999954223633,0.5291005291005292,0.4,close to overbought,up,2.503543658094846,2.3348390560095704,3.3211185071309677,8.13677810579134,11.95291409479925,22.4260955287161,21.4932609863129,35.52385263547205,0.9434686931297187,61.97999954223633,55.232975006103516,1.0,0.2464251335447066,0.2448035845540777,0.32467084311384836,66.62921706199718,9.595430155435846,NSPCG,0.001,6.156858093261508,0.0
