,,longName,L.Year,Today,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
KBWP,0,Invesco KBW Property & Casualty Insurance ETF,84.36,102.58,21.61,23.39,28.26,0.99,1.0,0.98,21846.67,0.27,10.78,Uptrend,Bear,,
DFNL,0,Davis Select Financial ETF,26.66,31.8,19.26,22.45,29.15,0.98,1.0,0.96,9806.67,0.19,10.75,Uptrend,Bull,,
RSPF,0,Invesco S&P 500 Equal Weight Financials ETF,53.56,61.66,15.12,22.68,28.43,0.98,1.0,0.96,13893.33,0.17,10.65,Uptrend,Bull,,
XLI,0,Industrial Select Sector SPDR Fund,99.12,122.57,23.66,23.48,27.36,0.98,1.0,0.96,9298286.67,0.41,10.64,Uptrend,Bull,,
IXG,0,iShares Global Financials ETF,69.53,83.94,20.72,20.48,29.43,0.98,1.0,0.95,10126.67,0.38,10.45,Uptrend,Bull,,
RBLD,0,First Trust Alerian U.S. NextGen Infrastructure ETF,48.67,60.57,24.44,22.79,27.1,0.97,0.99,0.95,1280.0,0.39,10.44,Uptrend,Bull,,
IAT,0,iShares U.S. Regional Banks ETF,41.84,41.79,-0.12,23.79,26.42,0.97,1.01,0.95,271893.33,-0.0,10.43,Uptrend,Bear,,
PHO,0,Invesco Water Resources ETF,51.86,64.71,24.77,22.86,26.79,0.98,1.0,0.96,64906.67,0.34,10.39,Uptrend,Bear,,
XAR,0,SPDR S&P Aerospace & Defense ETF,116.5,141.87,21.77,22.97,26.58,0.96,1.0,0.95,77193.33,0.33,10.37,Uptrend,Bull,,
IAI,0,iShares U.S. Broker-Dealers & Securities Exchanges ETF,93.68,111.95,19.5,21.41,27.86,0.98,1.0,0.95,14806.67,0.21,10.29,Uptrend,Bear,,
XBI,0,SPDR S&P Biotech ETF,78.71,98.79,25.5,20.1,28.69,0.98,1.04,0.92,12693366.67,0.19,10.2,Uptrend,Bear,,
EXI,0,iShares Global Industrials ETF,110.27,136.79,24.05,21.13,27.23,0.97,0.99,0.95,13626.67,0.43,10.15,Uptrend,Bull,,
PIO,0,Invesco Global Water ETF,33.52,42.24,26.01,21.25,26.47,0.97,0.99,0.93,11006.67,0.45,10.02,Uptrend,Bull,,
FIW,0,First Trust Water ETF,81.24,99.82,22.86,21.25,25.38,0.98,0.99,0.96,39013.33,0.31,9.78,Uptrend,Bull,,
EUFN,0,iShares MSCI Europe Financials ETF,18.43,21.84,18.53,16.43,29.74,0.96,0.99,0.93,258313.33,0.31,9.68,Uptrend,Bull,,
XSD,0,SPDR S&P Semiconductor ETF,198.23,240.14,21.14,25.81,19.38,0.93,0.97,0.9,56166.67,0.12,9.44,Uptrend,Bull,,
NXTG,0,First Trust IndXX NextG ETF,64.69,80.75,24.82,21.98,22.51,0.96,0.99,0.94,10526.67,0.19,9.32,Uptrend,Bull,,
XT,0,iShares Exponential Technologies ETF,49.97,61.02,22.11,19.28,22.38,0.97,0.99,0.95,95940.0,0.13,8.75,Uptrend,Bull,,
GRID,0,First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund,93.42,112.73,20.67,17.17,23.35,0.95,0.98,0.93,35053.33,0.39,8.57,Uptrend,Bull,,
PINK,0,Simplify Health Care ETF,24.01,29.99,24.89,16.38,23.97,1.0,1.01,0.98,125273.33,0.28,8.53,Uptrend,Bear,,
IEO,0,iShares U.S. Oil & Gas Exploration & Production ETF,84.9,97.64,15.01,16.23,23.95,0.97,0.99,0.94,106953.33,0.24,8.48,Uptrend,Bull,,
PPH,0,VanEck Pharmaceutical ETF,72.67,90.77,24.9,15.21,23.65,0.98,1.0,0.96,110746.67,0.38,8.24,Uptrend,Bull,,
IHE,0,iShares U.S. Pharmaceuticals ETF,55.07,68.02,23.51,15.61,22.28,1.01,1.02,0.99,98473.33,0.27,8.04,Downtrend,Bear,,
EBLU,0,Ecofin Global Water ESG Fund,38.01,45.63,20.05,16.18,21.34,0.98,1.0,0.96,1793.33,0.34,7.97,Uptrend,Bull,,
XME,0,SPDR S&P Metals and Mining ETF,53.7,58.99,9.86,18.49,18.75,0.96,0.97,0.94,2474600.0,0.08,7.85,Uptrend,Bull,,
FCG,0,First Trust Natural Gas ETF,22.26,25.4,14.13,13.22,23.86,0.97,1.0,0.91,279380.0,0.22,7.85,Uptrend,Bull,,
XTN,0,SPDR S&P Transportation ETF,74.67,83.5,11.83,14.78,21.9,0.99,1.01,0.98,11506.67,0.14,7.76,Uptrend,Bear,,
KBWD,0,Invesco KBW High Dividend Yield Financial ETF,13.48,15.25,13.12,14.58,21.79,0.98,1.0,0.96,128553.33,-0.04,7.66,Uptrend,Bull,,
IYH,0,iShares U.S. Healthcare ETF,49.44,61.54,24.47,13.86,22.1,0.99,1.01,0.98,286420.0,0.3,7.65,Uptrend,Bear,,
XOP,0,SPDR S&P Oil & Gas Exploration & Production ETF,127.15,142.35,11.95,14.35,21.52,0.98,1.0,0.94,3170326.67,0.22,7.61,Uptrend,Bull,,
TPYP,0,Tortoise North American Pipeline Fund,23.47,27.31,16.34,15.11,20.64,0.97,1.0,0.93,35126.67,0.24,7.59,Uptrend,Bull,,
FXN,0,First Trust Energy AlphaDEX Fund,15.54,17.46,12.34,14.29,21.24,0.97,0.99,0.93,2094120.0,0.24,7.54,Uptrend,Bull,,
RSPG,0,Invesco S&P 500 Equal Weight Energy ETF,67.56,77.01,14.0,12.81,22.57,0.97,0.99,0.93,80846.67,0.26,7.51,Uptrend,Bull,,
KRE,0,SPDR S&P Regional Banking ETF,51.22,49.53,-3.3,18.42,16.71,0.97,1.0,0.96,15506313.33,-0.08,7.4,Uptrend,Bull,,
EVX,0,VanEck Environmental Services ETF,138.86,161.63,16.4,15.42,18.47,0.99,1.0,0.96,1893.33,0.41,7.25,Uptrend,Bear,,
FMAT,0,Fidelity MSCI Materials Index ETF,44.54,50.78,14.0,13.7,18.68,0.96,0.99,0.93,27533.33,0.32,6.93,Uptrend,Bull,,
XLB,0,Materials Select Sector SPDR Fund,78.22,89.87,14.89,13.23,19.09,0.96,0.99,0.93,4584233.33,0.34,6.92,Uptrend,Bull,,
VAW,0,Vanguard Materials Index Fund ETF Shares,173.72,197.97,13.96,13.61,18.68,0.96,0.99,0.93,43146.67,0.31,6.91,Uptrend,Bull,,
OIH,0,VanEck Oil Services ETF,297.87,310.91,4.38,13.46,18.74,0.96,0.98,0.93,334086.67,0.09,6.84,Uptrend,Bull,,
IFRA,0,iShares U.S. Infrastructure ETF,36.9,41.8,13.29,13.84,17.11,0.97,0.99,0.94,270506.67,0.26,6.63,Uptrend,Bull,,
ITA,0,iShares U.S. Aerospace & Defense ETF,112.96,129.87,14.96,13.24,16.99,0.98,1.0,0.96,374933.33,0.36,6.51,Uptrend,Bull,,
PTH,0,Invesco Dorsey Wright Healthcare Momentum ETF,37.29,45.25,21.36,10.67,19.28,1.0,1.04,0.96,18993.33,0.28,6.45,Uptrend,Bear,,
WBIF,0,WBI BullBear Value 3000 ETF,26.7,29.98,12.3,14.7,14.97,0.97,0.99,0.95,3033.33,0.38,6.4,Uptrend,Bull,,
XLV,0,Health Care Select Sector SPDR Fund,123.02,146.7,19.25,10.63,17.02,0.99,1.01,0.98,8542706.67,0.31,5.99,Uptrend,Bear,,
LCTD,0,BlackRock World ex U.S. Carbon Transition Readiness ETF,39.27,45.63,16.18,9.46,18.18,0.97,0.99,0.95,11186.67,0.27,5.97,Uptrend,Bull,,
PHDG,0,Invesco S&P 500 Downside Hedged ETF,31.53,36.55,15.91,12.91,14.59,0.98,0.99,0.97,13906.67,0.25,5.94,Uptrend,Bull,,
JETS,0,U.S. Global Jets ETF,19.59,20.31,3.68,11.29,15.86,0.99,1.0,0.98,2444986.67,0.25,5.88,Uptrend,Bull,,
FHLC,0,Fidelity MSCI Health Care Index ETF,58.65,69.38,18.29,9.87,16.46,0.99,1.0,0.98,110433.33,0.29,5.72,Uptrend,Bear,,
VHT,0,Vanguard Health Care Index Fund ETF Shares,227.27,269.01,18.36,9.87,16.43,0.99,1.01,0.98,192193.33,0.3,5.72,Uptrend,Bear,,
CGW,0,Invesco S&P Global Water Index ETF,47.32,54.49,15.15,10.59,15.73,0.98,0.99,0.96,43580.0,0.28,5.71,Uptrend,Bull,,
IXC,0,iShares Global Energy ETF,36.9,40.39,9.46,7.05,17.45,0.98,0.99,0.95,477500.0,0.22,5.33,Uptrend,Bull,,
IXJ,0,iShares Global Healthcare ETF,78.36,92.91,18.56,8.02,16.29,0.99,1.0,0.97,131826.67,0.32,5.32,Uptrend,Bull,,
VDE,0,Vanguard Energy Index Fund ETF Shares,112.43,122.51,8.97,7.65,16.78,0.98,0.99,0.95,458320.0,0.22,5.32,Uptrend,Bull,,
FENY,0,Fidelity MSCI Energy Index ETF,22.09,24.07,8.96,7.61,16.79,0.98,0.99,0.95,701160.0,0.22,5.31,Uptrend,Bull,,
EMLP,0,First Trust North American Energy Infrastructure Fund,25.58,28.76,12.44,8.96,15.25,0.97,0.99,0.94,212420.0,0.28,5.29,Uptrend,Bull,,
IGE,0,iShares North American Natural Resources ETF,38.14,42.11,10.41,8.01,16.25,0.97,0.99,0.93,82660.0,0.23,5.29,Uptrend,Bull,,
IYM,0,iShares U.S. Basic Materials ETF,129.62,142.29,9.77,9.88,14.34,0.96,0.99,0.93,14880.0,0.25,5.28,Uptrend,Bull,,
ROBO,0,Robo Global Robotics and Automation Index ETF,52.7,59.18,12.3,10.14,14.05,0.96,0.99,0.94,73560.0,0.17,5.26,Uptrend,Bull,,
ARKX,0,ARK Space Exploration & Innovation ETF,13.65,15.09,10.55,11.21,12.95,0.97,0.99,0.95,65626.67,0.12,5.25,Uptrend,Bull,,
XLE,0,Energy Select Sector SPDR Fund,80.74,87.86,8.82,6.08,16.02,0.98,0.99,0.95,14878206.67,0.23,4.86,Uptrend,Bull,,
FXZ,0,First Trust Materials AlphaDEX Fund,65.54,68.63,4.72,9.94,11.71,0.97,0.99,0.93,45853.33,0.12,4.74,Uptrend,Bull,,
IHF,0,iShares U.S. Healthcare Providers ETF,47.2,53.24,12.81,8.27,12.26,1.0,1.02,0.98,117040.0,0.12,4.53,Downtrend,Bear,,
RSPC,0,Invesco S&P 500 Equal Weight Communication Services ETF,25.86,28.97,12.03,7.98,11.7,1.0,1.02,0.99,21813.33,-0.05,4.33,Downtrend,Bear,,
IYE,0,iShares U.S. Energy ETF,43.04,45.99,6.85,4.97,14.22,0.98,0.99,0.95,548126.67,0.23,4.27,Uptrend,Bull,,
DRLL,0,Strive U.S. Energy ETF,27.3,29.2,6.96,4.99,13.76,0.98,0.99,0.95,37333.33,0.23,4.19,Uptrend,Bull,,
RSPH,0,Invesco S&P 500 Equal Weight Health Care ETF,27.92,31.62,13.27,5.8,12.27,0.98,0.99,0.97,91573.33,0.29,4.07,Uptrend,Bull,,
IHI,0,iShares U.S. Medical Devices ETF,51.1,58.68,14.82,3.81,13.11,0.98,0.99,0.96,1084033.33,0.29,3.83,Uptrend,Bull,,
NFRA,0,FlexShares STOXX Global Broad Infrastructure Index Fund,48.86,54.39,11.33,4.75,10.07,0.98,0.99,0.96,50920.0,0.16,3.39,Uptrend,Bull,,
IBB,0,iShares Biotechnology ETF,123.61,138.32,11.9,3.87,10.21,0.99,1.02,0.97,2139820.0,0.08,3.23,Uptrend,Bear,,
XPH,0,SPDR S&P Pharmaceuticals ETF,40.17,44.07,9.7,4.58,8.69,1.01,1.03,1.0,34293.33,0.14,3.09,Downtrend,Bear,,
EMIF,0,iShares Emerging Markets Infrastructure ETF,20.51,21.77,6.12,4.97,7.55,0.99,1.01,0.96,1080.0,0.13,2.93,Uptrend,Bear,,
PBE,0,Invesco Biotechnology & Genome ETF,61.65,66.68,8.17,4.69,7.36,0.98,1.01,0.95,25253.33,0.07,2.82,Uptrend,Bear,,
JHMU,0,John Hancock Dynamic Municipal Bond ETF,24.89,27.12,8.97,1.71,7.23,0.99,1.0,0.99,600.0,0.21,2.23,Uptrend,Bull,,
IDNA,0,iShares Genomics Immunology and Healthcare ETF,22.76,24.28,6.66,1.92,6.43,0.99,1.04,0.94,53980.0,0.18,2.11,Uptrend,Bear,,
INFL,0,Horizon Kinetics Inflation Beneficiaries ETF,29.48,31.34,6.3,1.58,6.52,0.98,0.99,0.95,138613.33,0.14,2.04,Uptrend,Bull,,
BLLD,0,JPMorgan Sustainable Infrastructure ETF,44.72,47.6,6.43,0.88,6.47,0.97,0.99,0.95,373.33,0.11,1.88,Uptrend,Bull,,
GLIF,0,AGF Global Infrastructure ETF,24.41,25.78,5.6,1.57,5.65,0.97,0.99,0.95,2166.67,0.13,1.86,Uptrend,Bull,,
